Crop,Year,Season,State,Area,Production,Rainfall,Yield,season_code,crop_code
Onion,2010,Summer,Karnataka,4680.0,49792,1317.7,10.59809524,3,1
Rice,2010,Kharif,Karnataka,1129304.0,3192746,1317.7,2.654,1,2
Rice,2010,Rabi,Karnataka,49700.0,117501,1317.7,2.668333333,2,2
Rice,2010,Summer,Karnataka,360062.0,1163725,1317.7,2.935714286,3,2
Wheat,2010,Rabi,Karnataka,254755.0,300237,1317.7,1.166470588,2,3
Rice,2010,Autumn,Kerala,70498.28,170262,3131.8,2.236923077,0,2
Rice,2010,Summer,Kerala,51132.63,137465,3131.8,2.48,3,2
Rice,2010,Winter,Kerala,91555.59,215011,3131.8,2.202142857,5,2
Maize,2010,Kharif,Meghalaya,17276.0,26500,3119.7,1.561428571,1,0
Rice,2010,Autumn,Meghalaya,32596.0,42492,3119.7,1.53,0,2
Rice,2010,Rabi,Meghalaya,12797.0,47413,3119.7,2.077142857,2,2
Rice,2010,Winter,Meghalaya,62892.0,117116,3119.7,1.828571429,5,2
Wheat,2010,Rabi,Meghalaya,393.0,704,3119.7,1.2475,2,3
Onion,2011,Rabi,Puducherry,1.0,7,1434.5875,7.0,2,1
Rice,2011,Kharif,Puducherry,4237.0,12794,1434.5875,3.046666667,1,2
Rice,2011,Rabi,Puducherry,10324.0,23489,1434.5875,2.856666667,2,2
Rice,2011,Summer,Puducherry,2015.0,5831,1434.5875,2.49,3,2
Maize,2011,Kharif,Assam,21297.0,17075,1743.4,0.693333333,1,0
Onion,2011,Whole Year,Assam,7372.0,22595,1743.4,3.02962963,4,1
Rice,2011,Autumn,Assam,276486.0,338015,1743.4,1.268518519,0,2
Rice,2011,Summer,Assam,393619.0,1080072,1743.4,2.489615385,3,2
Rice,2011,Winter,Assam,1875601.0,3297591,1743.4,1.797037037,5,2
Wheat,2011,Rabi,Assam,40194.0,48592,1743.4,1.169615385,2,3
Maize,2011,Kharif,Andhra Pradesh,530919.0,1492303,861.9,3.427727273,1,0
Maize,2011,Rabi,Andhra Pradesh,332805.0,2163376,861.9,6.432272727,2,0
Onion,2011,Kharif,Andhra Pradesh,39613.0,554878,861.9,13.41823529,1,1
Onion,2011,Rabi,Andhra Pradesh,17378.0,444871,861.9,24.52894737,2,1
Rice,2011,Kharif,Andhra Pradesh,2873949.0,8563334,861.9,2.909090909,1,2
Rice,2011,Rabi,Andhra Pradesh,1221899.0,4328458,861.9,3.031818182,2,2
Wheat,2011,Rabi,Andhra Pradesh,8255.0,10914,861.9,1.306666667,2,3
Maize,2011,Kharif,Karnataka,1206528.0,3433881,1178.986364,2.855357143,1,0
Maize,2011,Rabi,Karnataka,111362.0,347253,1178.986364,3.0375,2,0
Maize,2011,Summer,Karnataka,31494.0,106783,1178.986364,3.159655172,3,0
Onion,2011,Kharif,Karnataka,136540.0,674001,1178.986364,5.5184,1,1
Onion,2011,Rabi,Karnataka,13695.0,108989,1178.986364,8.495454545,2,1
Onion,2011,Summer,Karnataka,3572.0,21998,1178.986364,6.214285714,3,1
Rice,2011,Kharif,Karnataka,1117720.0,3218289,1178.986364,2.702666667,1,2
Rice,2011,Rabi,Karnataka,43192.0,94196,1178.986364,2.378181818,2,2
Rice,2011,Summer,Karnataka,255223.0,869134,1178.986364,2.931428571,3,2
Wheat,2011,Rabi,Karnataka,225472.0,200932,1178.986364,0.981333333,2,3
Rice,2011,Autumn,Kerala,68134.83,171662,3035.1,2.301538462,0,2
Rice,2011,Summer,Kerala,47290.01,149217,3035.1,2.7,3,2
Rice,2011,Winter,Kerala,92734.9,248114,3035.1,2.426428571,5,2
Maize,2011,Kharif,Meghalaya,17303.0,26939,4083.104545,1.58,1,0
Rice,2011,Autumn,Meghalaya,32605.0,43401,4083.104545,1.511428571,0,2
Rice,2011,Rabi,Meghalaya,12836.0,54206,4083.104545,2.07,2,2
Rice,2011,Winter,Meghalaya,63434.0,125124,4083.104545,1.91,5,2
Wheat,2011,Rabi,Meghalaya,395.0,710,4083.104545,1.34,2,3
Maize,2011,Kharif,Tamil Nadu,176287.0,1001667,926.5,5.832307692,1,0
Maize,2011,Rabi,Tamil Nadu,104342.0,693800,926.5,6.611481481,2,0
Onion,2011,Whole Year,Tamil Nadu,34913.0,376947,926.5,11.16703704,4,1
Rice,2011,Kharif,Tamil Nadu,1903772.0,7458657,926.5,4.226451613,1,2
Maize,2012,Kharif,Andhra Pradesh,565000.0,2341000,968.7,4.040952381,1,0
Maize,2012,Rabi,Andhra Pradesh,407000.0,2513000,968.7,6.119545455,2,0
Onion,2012,Kharif,Andhra Pradesh,25000.0,450000,968.7,15.35285714,1,1
Onion,2012,Rabi,Andhra Pradesh,14000.0,386000,968.7,25.34375,2,1
Rice,2012,Kharif,Andhra Pradesh,2487000.0,7167000,968.7,2.969545455,1,2
Rice,2012,Rabi,Andhra Pradesh,1141000.0,4344000,968.7,3.243636364,2,2
Wheat,2012,Rabi,Andhra Pradesh,8000.0,9000,968.7,1.25,2,3
Maize,2012,Kharif,Assam,23695.0,21258,2167.5,0.771481481,1,0
Onion,2012,Whole Year,Assam,7099.0,25893,2167.5,3.265185185,4,1
Rice,2012,Autumn,Assam,238178.0,308745,2167.5,1.291481481,0,2
Rice,2012,Summer,Assam,389140.0,1155877,2167.5,2.7724,3,2
Rice,2012,Winter,Assam,1857410.0,3655430,2167.5,1.968888889,5,2
Wheat,2012,Rabi,Assam,33984.0,44190,2167.5,1.2508,2,3
Maize,2012,Kharif,Karnataka,1161644.0,2978477,956.2,2.741071429,1,0
Maize,2012,Rabi,Karnataka,127577.0,386114,956.2,3.155185185,2,0
Maize,2012,Summer,Karnataka,32413.0,111382,956.2,3.439666667,3,0
Onion,2012,Kharif,Karnataka,67739.0,359625,956.2,5.5388,1,1
Onion,2012,Rabi,Karnataka,12087.0,79118,956.2,7.056666667,2,1
Onion,2012,Summer,Karnataka,3543.0,20096,956.2,5.650952381,3,1
Rice,2012,Kharif,Karnataka,1048427.0,2667359,956.2,2.418333333,1,2
Rice,2012,Rabi,Karnataka,45326.0,109309,956.2,2.394615385,2,2
Rice,2012,Summer,Karnataka,185162.0,587711,956.2,2.747777778,3,2
Wheat,2012,Rabi,Karnataka,225274.0,178871,956.2,0.846428571,2,3
Maize,2012,Whole Year,Kerala,180.0,15,2187.6,0.535,4,0
Onion,2012,Whole Year,Kerala,40.0,0,2187.6,0.0,4,1
Rice,2012,Autumn,Kerala,63232.0,161083,2187.6,2.41,0,2
Rice,2012,Summer,Kerala,47294.0,134609,2187.6,2.482142857,3,2
Rice,2012,Winter,Kerala,86751.0,212607,2187.6,2.355,5,2
Wheat,2012,Whole Year,Kerala,1.0,0,2187.6,0.0,4,3
Maize,2012,Whole Year,Meghalaya,18015.0,38732,2945.3,2.2,4,0
Rice,2012,Autumn,Meghalaya,33000.0,66000,2945.3,2.232857143,0,2
Rice,2012,Rabi,Meghalaya,13267.0,56786,2945.3,2.13,2,2
Rice,2012,Winter,Meghalaya,63484.0,142867,2945.3,2.118571429,5,2
Wheat,2012,Rabi,Meghalaya,406.0,742,2945.3,1.356666667,2,3
Maize,2013,Kharif,Andhra Pradesh,109846.0,407657,1062.3,3.460769231,1,0
Maize,2013,Rabi,Andhra Pradesh,242269.0,1805828,1062.3,7.458461538,2,0
Onion,2013,Kharif,Andhra Pradesh,20959.0,394680,1062.3,18.40181818,1,1
Onion,2013,Rabi,Andhra Pradesh,5326.0,117905,1062.3,19.63545455,2,1
Rice,2013,Kharif,Andhra Pradesh,1705555.0,4356822,1062.3,2.715384615,1,2
Rice,2013,Rabi,Andhra Pradesh,877885.0,3636603,1062.3,3.408461538,2,2
Wheat,2013,Rabi,Andhra Pradesh,348.0,249,1062.3,0.68,2,3
Maize,2013,Kharif,Assam,24068.0,76998,1797.7,3.53037037,1,0
Onion,2013,Whole Year,Assam,7436.0,28812,1797.7,3.347037037,4,1
Rice,2013,Autumn,Assam,223332.0,294440,1797.7,1.386296296,0,2
Rice,2013,Summer,Assam,399132.0,1189858,1797.7,2.655925926,3,2
Rice,2013,Winter,Assam,1880737.0,3709081,1797.7,1.982592593,5,2
Wheat,2013,Rabi,Assam,31294.0,40444,1797.7,1.232,2,3
Rice,2013,Kharif,Goa,28330.0,80114,3642.6,2.82,1,2
Rice,2013,Rabi,Goa,14490.0,46397,3642.6,3.205,2,2
Maize,2013,Kharif,Karnataka,1246109.0,3950152,1235.6,3.165,1,0
Maize,2013,Rabi,Karnataka,103879.0,318029,1235.6,2.988888889,2,0
Maize,2013,Summer,Karnataka,27180.0,88183,1235.6,3.111724138,3,0
Onion,2013,Kharif,Karnataka,112723.0,745697,1235.6,6.9688,1,1
Onion,2013,Rabi,Karnataka,19940.0,140107,1235.6,7.312608696,2,1
Onion,2013,Summer,Karnataka,5914.0,46434,1235.6,8.033333333,3,1
Rice,2013,Kharif,Karnataka,1035111.0,3057894,1235.6,2.792666667,1,2
Rice,2013,Rabi,Karnataka,40896.0,102639,1235.6,2.545833333,2,2
Rice,2013,Summer,Karnataka,264028.0,892066,1235.6,3.022962963,3,2
Wheat,2013,Rabi,Karnataka,209079.0,210041,1235.6,1.068571429,2,3
Maize,2013,Whole Year,Kerala,51.0,71,3255.4,1.445,4,0
Onion,2013,Whole Year,Kerala,103.0,0,3255.4,0.0,4,1
Rice,2013,Autumn,Kerala,51922.0,141234,3255.4,2.416923077,0,2
Rice,2013,Summer,Kerala,46865.0,137477,3255.4,2.673571429,3,2
Rice,2013,Winter,Kerala,100824.0,285614,3255.4,2.506428571,5,2
Maize,2013,Whole Year,Meghalaya,18025.0,39655,2448.4,2.16,4,0
Rice,2013,Autumn,Meghalaya,22569.0,48727,2448.4,2.448571429,0,2
Rice,2013,Rabi,Meghalaya,13444.0,58685,2448.4,2.396363636,2,2
Rice,2013,Winter,Meghalaya,46424.0,111289,2448.4,2.238571429,5,2
Wheat,2013,Rabi,Meghalaya,422.0,789,2448.4,1.506,2,3
Maize,2013,Kharif,Tamil Nadu,223113.0,1458297,740.9,6.161111111,1,0
Maize,2013,Rabi,Tamil Nadu,157316.0,786919,740.9,5.431724138,2,0
Onion,2013,Kharif,Tamil Nadu,9104.0,105866,740.9,11.31961538,1,1
Onion,2013,Rabi,Tamil Nadu,15883.0,134505,740.9,8.304615385,2,1
Rice,2013,Kharif,Tamil Nadu,1725730.0,7115195,740.9,4.491935484,1,2
Maize,2014,Kharif,Andhra Pradesh,99863.0,328758,687.6,3.446923077,1,0
Maize,2014,Rabi,Andhra Pradesh,203463.0,1609315,687.6,7.481538462,2,0
Onion,2014,Kharif,Andhra Pradesh,29445.0,540640,687.6,17.84545455,1,1
Onion,2014,Rabi,Andhra Pradesh,3983.0,85150,687.6,19.12090909,2,1
Rice,2014,Kharif,Andhra Pradesh,1634921.0,5097447,687.6,3.184615385,1,2
Rice,2014,Rabi,Andhra Pradesh,759034.0,3358137,687.6,3.541538462,2,2
Wheat,2014,Rabi,Andhra Pradesh,320.0,256,687.6,1.02,2,3
Maize,2014,Kharif,Assam,27953.0,93179,1899.0,2.96962963,1,0
Onion,2014,Whole Year,Assam,8283.0,32421,1899.0,3.382592593,4,1
Rice,2014,Autumn,Assam,196188.0,280693,1899.0,1.531481481,0,2
Rice,2014,Summer,Assam,416353.0,1224046,1899.0,2.613076923,3,2
Rice,2014,Winter,Assam,1882756.0,3717906,1899.0,1.977777778,5,2
Wheat,2014,Rabi,Assam,23646.0,28769,1899.0,1.199615385,2,3
Rice,2014,Kharif,Goa,27840.0,81269,3491.2,2.925,1,2
Rice,2014,Rabi,Goa,14130.0,39236,3491.2,2.775,2,2
Maize,2014,Kharif,Karnataka,1210336.0,3788289,1238.5,3.134642857,1,0
Maize,2014,Rabi,Karnataka,102820.0,347250,1238.5,3.191785714,2,0
Maize,2014,Summer,Karnataka,23928.0,78040,1238.5,3.19,3,0
Onion,2014,Kharif,Karnataka,165553.0,850280,1238.5,5.48,1,1
Onion,2014,Rabi,Karnataka,13779.0,91319,1238.5,7.599090909,2,1
Onion,2014,Summer,Karnataka,5782.0,28365,1238.5,5.114090909,3,1
Rice,2014,Kharif,Karnataka,1000025.0,3057611,1238.5,2.812333333,1,2
Rice,2014,Rabi,Karnataka,48096.0,118479,1238.5,2.493846154,2,2
Rice,2014,Summer,Karnataka,278414.0,851657,1238.5,2.852,3,2
Wheat,2014,Rabi,Karnataka,197615.0,260093,1238.5,1.289285714,2,3
Maize,2014,Whole Year,Kerala,67.0,69,3046.4,1.166666667,4,0
Onion,2014,Whole Year,Kerala,61.0,0,3046.4,0.0,4,1
Rice,2014,Autumn,Kerala,63981.0,161477,3046.4,2.215384615,0,2
Rice,2014,Summer,Kerala,45188.0,146165,3046.4,2.801428571,3,2
Rice,2014,Winter,Kerala,88990.0,254450,3046.4,2.500714286,5,2
Wheat,2014,Whole Year,Kerala,1.0,3,3046.4,3.0,4,3
Maize,2014,Whole Year,Meghalaya,18037.0,40764,3484.4,2.214545455,4,0
Onion,2014,Rabi,Meghalaya,499.0,4231,3484.4,8.006,2,1
Rice,2014,Autumn,Meghalaya,33102.0,76631,3484.4,2.507272727,0,2
Rice,2014,Rabi,Meghalaya,13620.0,62687,3484.4,2.505454545,2,2
Rice,2014,Winter,Meghalaya,63601.0,158920,3484.4,2.319090909,5,2
Wheat,2014,Rabi,Meghalaya,442.0,844,3484.4,1.568,2,3
Maize,2014,Kharif,Tamil Nadu,191481.0,1663616,911.3,8.406538462,1,0
Maize,2014,Rabi,Tamil Nadu,130471.0,984135,911.3,7.637586207,2,0
Onion,2014,Kharif,Tamil Nadu,11835.0,100221,911.3,8.114074074,1,1
Onion,2014,Rabi,Tamil Nadu,16270.0,140110,911.3,8.551111111,2,1
Rice,2014,Kharif,Tamil Nadu,1794991.0,7949437,911.3,4.730322581,1,2
Maize,2015,Kharif,Andhra Pradesh,75017.0,276205,940.7,3.876923077,1,0
Maize,2015,Rabi,Andhra Pradesh,157628.0,1135482,940.7,5.915384615,2,0
Onion,2015,Kharif,Andhra Pradesh,33867.0,573224,940.7,16.65909091,1,1
Onion,2015,Rabi,Andhra Pradesh,7375.0,122524,940.7,14.99583333,2,1
Rice,2015,Kharif,Andhra Pradesh,1398884.0,4115558,940.7,3.091538462,1,2
Rice,2015,Rabi,Andhra Pradesh,761911.0,3402713,940.7,3.671538462,2,2
Wheat,2015,Rabi,Andhra Pradesh,164.0,115,940.7,0.696666667,2,3
Onion,2015,Summer,Puducherry,1.0,6,1980.6,6.0,3,1
Rice,2015,Kharif,Puducherry,3817.0,12250,1980.6,2.273333333,1,2
Rice,2015,Rabi,Puducherry,8505.0,19587,1980.6,2.47,2,2
Rice,2015,Summer,Puducherry,3941.0,12049,1980.6,2.225,3,2
Maize,2015,Kharif,Assam,28420.0,87175,2155.3,2.514074074,1,0
Onion,2015,Whole Year,Assam,8503.0,80339,2155.3,6.916296296,4,1
Rice,2015,Autumn,Assam,191322.0,256729,2155.3,1.398888889,0,2
Rice,2015,Summer,Assam,404982.0,1141336,2155.3,2.488076923,3,2
Rice,2015,Winter,Assam,1888683.0,3727039,2155.3,1.965925926,5,2
Wheat,2015,Rabi,Assam,20975.0,24489,2155.3,1.1756,2,3
Maize,2015,Kharif,Meghalaya,18056.0,41242,3870.8,2.24,1,0
Onion,2015,Rabi,Meghalaya,521.0,4595,3870.8,8.331,2,1
Rice,2015,Autumn,Meghalaya,33136.0,77453,3870.8,2.551818182,0,2
Rice,2015,Rabi,Meghalaya,13649.0,62901,3870.8,2.557272727,2,2
Rice,2015,Winter,Meghalaya,63670.0,160722,3870.8,2.347272727,5,2
Wheat,2015,Rabi,Meghalaya,448.0,875,3870.8,1.646,2,3
Rice,2015,Kharif,Goa,27730.0,78489,2587.1,2.83,1,2
Rice,2015,Rabi,Goa,13614.0,36579,2587.1,2.76,2,2
Maize,2015,Kharif,Karnataka,1091587.0,2982667,1024.9,2.7225,1,0
Maize,2015,Rabi,Karnataka,103950.0,258320,1024.9,2.544285714,2,0
Maize,2015,Summer,Karnataka,24754.0,69486,1024.9,2.877407407,3,0
Onion,2015,Kharif,Karnataka,173510.0,757715,1024.9,4.7168,1,1
Onion,2015,Rabi,Karnataka,15694.0,88814,1024.9,6.207083333,2,1
Onion,2015,Summer,Karnataka,6246.0,27006,1024.9,4.536666667,3,1
Rice,2015,Kharif,Karnataka,977005.0,2641669,1024.9,2.525666667,1,2
Rice,2015,Rabi,Karnataka,29329.0,71420,1024.9,2.456428571,2,2
Rice,2015,Summer,Karnataka,103711.0,307524,1024.9,2.785769231,3,2
Wheat,2015,Rabi,Karnataka,173856.0,128988,1024.9,0.854285714,2,3
Maize,2015,Whole Year,Kerala,59.0,74,2602.9,1.73,4,0
Onion,2015,Whole Year,Kerala,27.0,0,2602.9,0.0,4,1
Rice,2015,Autumn,Kerala,60418.0,160894,2602.9,2.327692308,0,2
Rice,2015,Summer,Kerala,47334.0,144706,2602.9,2.67,3,2
Rice,2015,Winter,Kerala,89118.0,243675,2602.9,2.370714286,5,2
Wheat,2015,Whole Year,Kerala,2.0,3,2602.9,1.5,4,3
Maize,2015,Kharif,Tamil Nadu,201750.0,1483163,1201.9,7.782,1,0
Maize,2015,Rabi,Tamil Nadu,153314.0,1049167,1201.9,6.849655172,2,0
Onion,2015,Kharif,Tamil Nadu,16013.0,154375,1201.9,9.524166667,1,1
Onion,2015,Rabi,Tamil Nadu,19796.0,128339,1201.9,6.711071429,2,1
Rice,2015,Kharif,Tamil Nadu,2000212.0,7374681,1201.9,4.061290323,1,2
Maize,2016,Kharif,Andhra Pradesh,85501.0,354764,890.0,3.907692308,1,0
Maize,2016,Rabi,Andhra Pradesh,164778.0,1298137,890.0,6.493846154,2,0
Onion,2016,Kharif,Andhra Pradesh,32006.0,555944,890.0,21.05416667,1,1
Onion,2016,Rabi,Andhra Pradesh,3511.0,77209,890.0,22.11,2,1
Rice,2016,Kharif,Andhra Pradesh,1519656.0,5233690,890.0,3.361538462,1,2
Rice,2016,Rabi,Andhra Pradesh,585363.0,2768647,890.0,3.727692308,2,2
Wheat,2016,Rabi,Andhra Pradesh,33.0,76,890.0,2.155,2,3
Onion,2016,Summer,Puducherry,1.0,5,1391.3,5.0,3,1
Rice,2016,Kharif,Puducherry,3693.0,13151,1391.3,3.24,1,2
Rice,2016,Rabi,Puducherry,8412.0,23024,1391.3,3.436666667,2,2
Rice,2016,Summer,Puducherry,4100.0,15989,1391.3,2.535,3,2
Maize,2016,Kharif,Assam,31333.0,91219,2296.8,2.545925926,1,0
Onion,2016,Whole Year,Assam,8266.0,81282,2296.8,7.141111111,4,1
Rice,2016,Autumn,Assam,168044.0,228206,2296.8,1.405185185,0,2
Rice,2016,Summer,Assam,408132.0,1131872,2296.8,2.412692308,3,2
Rice,2016,Winter,Assam,1890960.0,3767357,2296.8,1.996666667,5,2
Wheat,2016,Rabi,Assam,17452.0,23459,2296.8,1.2684,2,3
Maize,2016,Kharif,Meghalaya,18128.0,41543,3837.1,2.245454545,1,0
Onion,2016,Rabi,Meghalaya,551.0,4939,3837.1,8.427,2,1
Rice,2016,Autumn,Meghalaya,33646.0,78965,3837.1,2.552727273,0,2
Rice,2016,Rabi,Meghalaya,13670.0,63373,3837.1,2.573636364,2,2
Rice,2016,Winter,Meghalaya,63862.0,162180,3837.1,2.359090909,5,2
Wheat,2016,Rabi,Meghalaya,456.0,878,3837.1,1.632,2,3
Rice,2016,Kharif,Goa,27630.0,77109,3266.9,2.795,1,2
Rice,2016,Rabi,Goa,13193.0,36118,3266.9,2.745,2,2
Maize,2016,Kharif,Karnataka,1262641.0,2988982,1147.2,2.6025,1,0
Maize,2016,Rabi,Karnataka,87280.0,262415,1147.2,2.6956,2,0
Maize,2016,Summer,Karnataka,20282.0,62889,1147.2,3.482222222,3,0
Onion,2016,Kharif,Karnataka,183065.0,1314804,1147.2,7.5872,1,1
Onion,2016,Rabi,Karnataka,14675.0,210164,1147.2,13.12625,2,1
Onion,2016,Summer,Karnataka,3231.0,47561,1147.2,14.20695652,3,1
Rice,2016,Kharif,Karnataka,942025.0,2611754,1147.2,2.529666667,1,2
Rice,2016,Rabi,Karnataka,18686.0,49615,1147.2,2.525333333,2,2
Rice,2016,Summer,Karnataka,73832.0,212837,1147.2,2.852692308,3,2
Wheat,2016,Rabi,Karnataka,168242.0,171429,1147.2,0.944285714,2,3
Maize,2016,Whole Year,Kerala,65.0,68,2924.3,1.775,4,0
Onion,2016,Whole Year,Kerala,31.0,0,2924.3,0.0,4,1
Rice,2016,Autumn,Kerala,56601.0,167181,2924.3,2.524615385,0,2
Rice,2016,Summer,Kerala,42544.0,127905,2924.3,2.534285714,3,2
Rice,2016,Winter,Kerala,72253.0,141397,2924.3,2.102142857,5,2
Wheat,2016,Whole Year,Kerala,1.0,1,2924.3,1.0,4,3
Maize,2016,Kharif,Tamil Nadu,169144.0,770221,912.4,4.682222222,1,0
Maize,2016,Rabi,Tamil Nadu,145886.0,183156,912.4,1.654827586,2,0
Onion,2016,Kharif,Tamil Nadu,13602.0,141117,912.4,10.27692308,1,1
Onion,2016,Rabi,Tamil Nadu,17597.0,89105,912.4,5.267407407,2,1
Rice,2016,Kharif,Tamil Nadu,1442841.0,3554113,912.4,3.068387097,1,2
Maize,2017,Kharif,Andhra Pradesh,107276.0,501801,868.2,4.422307692,1,0
Maize,2017,Rabi,Andhra Pradesh,229264.0,1824103,868.2,7.576153846,2,0
Onion,2017,Kharif,Andhra Pradesh,17336.0,662728,868.2,381.42,1,1
Onion,2017,Rabi,Andhra Pradesh,7382.0,249866,868.2,44.62,2,1
Rice,2017,Kharif,Andhra Pradesh,1476928.0,4941933,868.2,3.25,1,2
Rice,2017,Rabi,Andhra Pradesh,741258.0,3519409,868.2,3.887692308,2,2
Wheat,2017,Kharif,Andhra Pradesh,11.0,8,868.2,0.85,1,3
Wheat,2017,Rabi,Andhra Pradesh,38.0,27,868.2,0.716666667,2,3
Onion,2017,Kharif,Puducherry,2.0,10,1582.4,5.0,1,1
Onion,2017,Summer,Puducherry,1.0,5,1582.4,5.0,3,1
Rice,2017,Kharif,Puducherry,4325.0,15281,1582.4,3.256666667,1,2
Rice,2017,Rabi,Puducherry,8749.0,25188,1582.4,3.27,2,2
Rice,2017,Summer,Puducherry,4297.0,15518,1582.4,2.85,3,2
Maize,2017,Kharif,Assam,31537.0,98783,2098.563636,2.989259259,1,0
Onion,2017,Whole Year,Assam,8338.0,80374,2098.563636,7.297037037,4,1
Rice,2017,Autumn,Assam,154511.0,209349,2098.563636,1.418148148,0,2
Rice,2017,Summer,Assam,400402.0,1191244,2098.563636,2.704615385,3,2
Rice,2017,Winter,Assam,1878798.0,3883120,2098.563636,2.063703704,5,2
Wheat,2017,Rabi,Assam,17786.0,24658,2098.563636,1.3388,2,3
Maize,2017,Kharif,Meghalaya,18152.0,41624,4472.3,2.246363636,1,0
Onion,2017,Rabi,Meghalaya,551.0,4939,4472.3,8.427,2,1
Rice,2017,Autumn,Meghalaya,33575.0,78848,4472.3,2.551818182,0,2
Rice,2017,Rabi,Meghalaya,13683.0,63428,4472.3,2.576363636,2,2
Rice,2017,Winter,Meghalaya,63883.0,162272,4472.3,2.36,5,2
Wheat,2017,Rabi,Meghalaya,460.0,887,4472.3,1.636,2,3
Rice,2017,Kharif,Goa,27219.0,71279,2772.5,2.635,1,2
Rice,2017,Rabi,Goa,11301.0,31718,2772.5,2.855,2,2
Maize,2017,Kharif,Karnataka,1183334.0,5150460,1111.7,4.282857143,1,0
Maize,2017,Rabi,Karnataka,100156.0,371937,1111.7,3.7392,2,0
Maize,2017,Summer,Karnataka,23518.0,88268,1111.7,3.739230769,3,0
Onion,2017,Kharif,Karnataka,117973.0,1302084,1111.7,11.2825,1,1
Onion,2017,Rabi,Karnataka,21870.0,310093,1111.7,13.49416667,2,1
Onion,2017,Summer,Karnataka,5651.0,68169,1111.7,11.80772727,3,1
Rice,2017,Kharif,Karnataka,737547.0,2123100,1111.7,2.9,1,2
Rice,2017,Rabi,Karnataka,30634.0,81726,1111.7,2.773076923,2,2
Rice,2017,Summer,Karnataka,224744.0,702645,1111.7,3.063703704,3,2
Wheat,2017,Rabi,Karnataka,193338.0,219087,1111.7,1.065333333,2,3
Maize,2017,Whole Year,Kerala,70.66,160,2664.8,1.1775,4,0
Onion,2017,Whole Year,Kerala,9.0,0,2664.8,0.0,4,1
Rice,2017,Autumn,Kerala,58278.0,148913,2664.8,2.217692308,0,2
Rice,2017,Summer,Kerala,49693.0,153463,2664.8,2.733571429,3,2
Rice,2017,Winter,Kerala,81115.0,218934,2664.8,2.483571429,5,2
Wheat,2017,Whole Year,Kerala,1.0,1,2664.8,1.0,4,3
Maize,2017,Kharif,Tamil Nadu,166195.0,1532106,970.9,8.962,1,0
Maize,2017,Rabi,Tamil Nadu,158323.0,1059526,970.9,6.956785714,2,0
Onion,2017,Kharif,Tamil Nadu,6293.0,61084,970.9,9.714166667,1,1
Onion,2017,Rabi,Tamil Nadu,16518.0,153558,970.9,9.684074074,2,1
Rice,2017,Autumn,Tamil Nadu,235255.0,906616,970.9,3.967857143,0,2
Rice,2017,Summer,Tamil Nadu,276272.0,1234550,970.9,4.451428571,3,2
Rice,2017,Winter,Tamil Nadu,1317338.0,4497284,970.9,4.139,5,2
Maize,2018,Kharif,Andhra Pradesh,104370.0,431440,1220.5,3.716923077,1,0
Maize,2018,Rabi,Andhra Pradesh,161853.0,1131719,1220.5,5.788461538,2,0
Onion,2018,Kharif,Andhra Pradesh,24750.0,677050,1220.5,247.5727273,1,1
Onion,2018,Rabi,Andhra Pradesh,5021.0,299805,1220.5,80.268,2,1
Rice,2018,Kharif,Andhra Pradesh,1563887.0,5243250,1220.5,3.263846154,1,2
Rice,2018,Rabi,Andhra Pradesh,644417.0,2991289,1220.5,3.699230769,2,2
Wheat,2018,Rabi,Andhra Pradesh,102.0,19,1220.5,0.095,2,3
Onion,2018,Kharif,Puducherry,1.0,3,1693.9,3.0,1,1
Onion,2018,Summer,Puducherry,1.0,6,1693.9,6.0,3,1
Rice,2018,Kharif,Puducherry,4298.0,16082,1693.9,3.373333333,1,2
Rice,2018,Rabi,Puducherry,9048.0,30635,1693.9,3.976666667,2,2
Rice,2018,Summer,Puducherry,4515.0,16626,1693.9,2.885,3,2
Maize,2018,Kharif,Assam,32264.0,105003,2372.9,2.868518519,1,0
Onion,2018,Whole Year,Assam,8211.0,84835,2372.9,7.455185185,4,1
Rice,2018,Autumn,Assam,144766.0,209122,2372.9,1.492592593,0,2
Rice,2018,Summer,Assam,400873.0,1145512,2372.9,2.645,3,2
Rice,2018,Winter,Assam,1879539.0,4082738,2372.9,2.15,5,2
Wheat,2018,Rabi,Assam,16945.0,23693,2372.9,1.371666667,2,3
Maize,2018,Kharif,Meghalaya,18163.0,41667,5649.1,2.246363636,1,0
Onion,2018,Rabi,Meghalaya,557.0,4997,5649.1,8.429,2,1
Rice,2018,Autumn,Meghalaya,33494.0,78214,5649.1,2.545454545,0,2
Rice,2018,Rabi,Meghalaya,13624.0,63050,5649.1,2.569090909,2,2
Rice,2018,Winter,Meghalaya,63814.0,161706,5649.1,2.352727273,5,2
Wheat,2018,Rabi,Meghalaya,462.0,892,5649.1,1.638,2,3
Rice,2018,Kharif,Goa,25841.0,70272,4406.0,2.72,1,2
Rice,2018,Rabi,Goa,10543.0,28582,4406.0,2.72,2,2
Maize,2018,Kharif,Karnataka,1296051.0,3407725,1419.1,2.882413793,1,0
Maize,2018,Rabi,Karnataka,93618.0,317479,1419.1,3.1972,2,0
Maize,2018,Summer,Karnataka,19621.0,67607,1419.1,3.2775,3,0
Onion,2018,Kharif,Karnataka,193156.0,1462077,1419.1,8.4024,1,1
Onion,2018,Rabi,Karnataka,16788.0,222577,1419.1,12.06083333,2,1
