Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cotton(lint),2017,Whole Year ,Kerala,84,132,2664.8,13224.96,31.92,1.57
Onion,2017,Whole Year ,Kerala,9,0,2664.8,1416.96,3.42,0
Potato,2017,Whole Year ,Kerala,516,7303,2664.8,81239.04,196.08,14.15
Rice,2017,Autumn     ,Kerala,58278,148913,2664.8,9175288.32,22145.64,2.217692308
Rice,2017,Summer     ,Kerala,49693,153463,2664.8,7823665.92,18883.34,2.733571429
Rice,2017,Winter     ,Kerala,81115,218934,2664.8,12770745.6,30823.7,2.483571429
Wheat,2017,Whole Year ,Kerala,1,1,2664.8,157.44,0.38,1
Banana,2017,Whole Year ,Tamil Nadu,78482,3044122,970.9,12356206.08,29823.16,37.84677419
Coconut ,2017,Whole Year ,Tamil Nadu,436024,4176500000,970.9,68647618.56,165689.12,9387.334516
Cotton(lint),2017,Kharif     ,Tamil Nadu,138290,337,970.9,21772377.6,52550.2,0
Cotton(lint),2017,Rabi       ,Tamil Nadu,43341,101,970.9,6823607.04,16469.58,0
Onion,2017,Kharif     ,Tamil Nadu,6293,61084,970.9,990769.92,2391.34,9.714166667
Onion,2017,Rabi       ,Tamil Nadu,16518,153558,970.9,2600593.92,6276.84,9.684074074
Potato,2017,Kharif     ,Tamil Nadu,2358,40817,970.9,371243.52,896.04,16.698
Potato,2017,Rabi       ,Tamil Nadu,1224,27698,970.9,192706.56,465.12,23.12
Rice,2017,Autumn     ,Tamil Nadu,235255,906616,970.9,37038547.2,89396.9,3.967857143
Rice,2017,Summer     ,Tamil Nadu,276272,1234550,970.9,43496263.68,104983.36,4.451428571
Rice,2017,Winter     ,Tamil Nadu,1317338,4497284,970.9,207401694.7,500588.44,4.139
Banana,2018,Whole Year ,Andhra Pradesh,59098,6223680,1220.5,9585695.6,20684.3,126.3876923
Coconut ,2018,Whole Year ,Andhra Pradesh,104530,1571100000,1220.5,16954766,36585.5,15636.63231
Cotton(lint),2018,Kharif     ,Andhra Pradesh,616870,1482941,1220.5,100056314,215904.5,2.386153846
Cotton(lint),2018,Rabi       ,Andhra Pradesh,3404,8162,1220.5,552128.8,1191.4,2.251666667
Onion,2018,Kharif     ,Andhra Pradesh,24750,677050,1220.5,4014450,8662.5,247.5727273
Onion,2018,Rabi       ,Andhra Pradesh,5021,299805,1220.5,814406.2,1757.35,80.268
Potato,2018,Kharif     ,Andhra Pradesh,486,2992,1220.5,78829.2,170.1,7.44
Potato,2018,Rabi       ,Andhra Pradesh,970,6026,1220.5,157334,339.5,8.096666667
Rice,2018,Kharif     ,Andhra Pradesh,1563887,5243250,1220.5,253662471.4,547360.45,3.263846154
Rice,2018,Rabi       ,Andhra Pradesh,644417,2991289,1220.5,104524437.4,225545.95,3.699230769
Wheat,2018,Rabi       ,Andhra Pradesh,102,19,1220.5,16544.4,35.7,0.095
Banana,2018,Kharif     ,Puducherry,262,9124,1693.9,42496.4,91.7,24.5
Coconut ,2018,Whole Year ,Puducherry,1877,17923000,1693.9,304449.4,656.95,8363.155
Cotton(lint),2018,Kharif     ,Puducherry,283,294,1693.9,45902.6,99.05,1.515
Onion,2018,Kharif     ,Puducherry,1,3,1693.9,162.2,0.35,3
Onion,2018,Summer     ,Puducherry,1,6,1693.9,162.2,0.35,6
Rice,2018,Kharif     ,Puducherry,4298,16082,1693.9,697135.6,1504.3,3.373333333
Rice,2018,Rabi       ,Puducherry,9048,30635,1693.9,1467585.6,3166.8,3.976666667
Rice,2018,Summer     ,Puducherry,4515,16626,1693.9,732333,1580.25,2.885
Banana,2018,Whole Year ,Assam,51113,917792,2372.9,8290528.6,17889.55,17.68037037
Coconut ,2018,Whole Year ,Assam,20752,160226000,2372.9,3365974.4,7263.2,8664.686667
Cotton(lint),2018,Kharif     ,Assam,843,431,2372.9,136734.6,295.05,0.626190476
Onion,2018,Whole Year ,Assam,8211,84835,2372.9,1331824.2,2873.85,7.455185185
Peas & beans (Pulses),2018,Rabi       ,Assam,29860,27965,2372.9,4843292,10451,0.92
Potato,2018,Whole Year ,Assam,103205,773481,2372.9,16739851,36121.75,7.511851852
Rice,2018,Autumn     ,Assam,144766,209122,2372.9,23481045.2,50668.1,1.492592593
Rice,2018,Summer     ,Assam,400873,1145512,2372.9,65021600.6,140305.55,2.645
Rice,2018,Winter     ,Assam,1879539,4082738,2372.9,304861225.8,657838.65,2.15
Wheat,2018,Rabi       ,Assam,16945,23693,2372.9,2748479,5930.75,1.371666667
Banana,2018,Kharif     ,Meghalaya,7273,94721,5649.1,1179680.6,2545.55,10.72727273
Cotton(lint),2018,Kharif     ,Meghalaya,7260,8840,5649.1,1177572,2541,1.174
Onion,2018,Rabi       ,Meghalaya,557,4997,5649.1,90345.4,194.95,8.429
Peas & beans (Pulses),2018,Rabi       ,Meghalaya,2335,4525,5649.1,378737,817.25,1.800909091
Potato,2018,Summer     ,Meghalaya,12569,143031,5649.1,2038691.8,4399.15,8.255454545
Potato,2018,Winter     ,Meghalaya,6360,44175,5649.1,1031592,2226,6.526363636
Rice,2018,Autumn     ,Meghalaya,33494,78214,5649.1,5432726.8,11722.9,2.545454545
Rice,2018,Rabi       ,Meghalaya,13624,63050,5649.1,2209812.8,4768.4,2.569090909
Rice,2018,Winter     ,Meghalaya,63814,161706,5649.1,10350630.8,22334.9,2.352727273
Wheat,2018,Rabi       ,Meghalaya,462,892,5649.1,74936.4,161.7,1.638
Banana,2018,Whole Year ,Goa,2411,26979,4406,391064.2,843.85,11.18
Coconut ,2018,Whole Year ,Goa,26381,132750000,4406,4278998.2,9233.35,5013.69
Rice,2018,Kharif     ,Goa,25841,70272,4406,4191410.2,9044.35,2.72
Rice,2018,Rabi       ,Goa,10543,28582,4406,1710074.6,3690.05,2.72
Coconut ,2018,Whole Year ,Karnataka,610234,4321762000,1419.1,98979954.8,213581.9,7502.488
Cotton(lint),2018,Kharif     ,Karnataka,713879,1398294,1419.1,115791173.8,249857.65,1.862692308
Cotton(lint),2018,Rabi       ,Karnataka,4507,2176,1419.1,731035.4,1577.45,0.845714286
Onion,2018,Kharif     ,Karnataka,193156,1462077,1419.1,31329903.2,67604.6,8.4024
Onion,2018,Rabi       ,Karnataka,16788,222577,1419.1,2723013.6,5875.8,12.06083333
Onion,2018,Summer     ,Karnataka,3665,38682,1419.1,594463,1282.75,10.361
Potato,2018,Kharif     ,Karnataka,21372,169235,1419.1,3466538.4,7480.2,8.165862069
Potato,2018,Rabi       ,Karnataka,6482,98231,1419.1,1051380.4,2268.7,14.73
Potato,2018,Summer     ,Karnataka,410,6626,1419.1,66502,143.5,16.26142857
Rice,2018,Kharif     ,Karnataka,1037158,2949318,1419.1,168227027.6,363005.3,2.637
Rice,2018,Rabi       ,Karnataka,11442,28334,1419.1,1855892.4,4004.7,2.480833333
Rice,2018,Summer     ,Karnataka,150993,484330,1419.1,24491064.6,52847.55,2.9272
Wheat,2018,Rabi       ,Karnataka,157525,163113,1419.1,25550555,55133.75,0.960740741
Banana,2018,Whole Year ,Kerala,52898.61,429061,2989.7,8580154.542,18514.5135,7.930714286
Coconut ,2018,Whole Year ,Kerala,760946.81,5299000000,2989.7,123425572.6,266331.3835,6426.82
Cotton(lint),2018,Whole Year ,Kerala,59.4,90,2989.7,9634.68,20.79,1.51
Onion,2018,Whole Year ,Kerala,5.21,0,2989.7,845.062,1.8235,0
Potato,2018,Whole Year ,Kerala,536.9,7381,2989.7,87085.18,187.915,13.75
Rice,2018,Autumn     ,Kerala,60718.46,101943,2989.7,9848534.212,21251.461,1.565384615
Rice,2018,Summer     ,Kerala,48858.28,196784,2989.7,7924813.016,17100.398,3.09
Rice,2018,Winter     ,Kerala,88449.47,279529,2989.7,14346504.03,30957.3145,2.684285714
Wheat,2018,Whole Year ,Kerala,1.4,2,2989.7,227.08,0.49,1.45
Banana,2018,Whole Year ,Tamil Nadu,87514,3483248,986.2,14194770.8,30629.9,37.39125
Coconut ,2018,Whole Year ,Tamil Nadu,439745,5214000000,986.2,71326639,153910.75,11263.83
Cotton(lint),2018,Kharif     ,Tamil Nadu,70023,151758,986.2,11357730.6,24508.05,2.13
Cotton(lint),2018,Rabi       ,Tamil Nadu,64899,168541,986.2,10526617.8,22714.65,2.738076923
Onion,2018,Kharif     ,Tamil Nadu,12414,108888,986.2,2013550.8,4344.9,8.912692308
Onion,2018,Rabi       ,Tamil Nadu,19273,109707,986.2,3126080.6,6745.55,5.878518519
Potato,2018,Kharif     ,Tamil Nadu,2334,25622,986.2,378574.8,816.9,13.195
Potato,2018,Rabi       ,Tamil Nadu,1198,23750,986.2,194315.6,419.3,23.2225
Rice,2018,Autumn     ,Tamil Nadu,279647,1198496,986.2,45358743.4,97876.45,4.184827586
Rice,2018,Summer     ,Tamil Nadu,236904,992095,986.2,38425828.8,82916.4,3.997333333
Rice,2018,Winter     ,Tamil Nadu,1204714,3940959,986.2,195404610.8,421649.9,3.749032258
Banana,2019,Whole Year ,Andhra Pradesh,97695,5861700,899.2,16780093.2,36147.15,60
Coconut ,2019,Whole Year ,Andhra Pradesh,104027,1912224000,899.2,17867677.52,38489.99,16935.05846
Cotton(lint),2019,Kharif     ,Andhra Pradesh,653953,424486,899.2,112322967.3,241962.61,0.543846154
Cotton(lint),2019,Rabi       ,Andhra Pradesh,3474,11066,899.2,596694.24,1285.38,3.305
Onion,2019,Kharif     ,Andhra Pradesh,23864,524198,899.2,4098880.64,8829.68,22.22444444
Onion,2019,Rabi       ,Andhra Pradesh,12250,256890,899.2,2104060,4532.5,21.7675
Potato,2019,Kharif     ,Andhra Pradesh,453,6648,899.2,77807.28,167.61,12.21
Potato,2019,Rabi       ,Andhra Pradesh,1050,15919,899.2,180348,388.5,13.155
Rice,2019,Kharif     ,Andhra Pradesh,1526425,5342033,899.2,262178758,564777.25,3.517692308
Rice,2019,Rabi       ,Andhra Pradesh,829557,3798058,899.2,142484710.3,306936.09,3.873076923
Wheat,2019,Rabi       ,Andhra Pradesh,37,11,899.2,6355.12,13.69,0.155
Banana,2019,Kharif     ,Puducherry,273,16637,1317,46890.48,101.01,32.76666667
Coconut ,2019,Whole Year ,Puducherry,1857,18661000,1317,318958.32,687.09,9474.625
Cotton(lint),2019,Kharif     ,Puducherry,500,1248,1317,85880,185,2.745
Onion,2019,Kharif     ,Puducherry,2,10,1317,343.52,0.74,5
Onion,2019,Summer     ,Puducherry,1,5,1317,171.76,0.37,5
Rice,2019,Kharif     ,Puducherry,4323,15171,1317,742518.48,1599.51,3.216666667
Rice,2019,Rabi       ,Puducherry,9397,28114,1317,1614028.72,3476.89,3.883333333
Rice,2019,Summer     ,Puducherry,4518,16060,1317,776011.68,1671.66,3.55
Banana,2019,Whole Year ,Assam,49445,906683,2084.7,8492673.2,18294.65,18.07555556
Coconut ,2019,Whole Year ,Assam,20800,148629000,2084.7,3572608,7696,7582.287813
Cotton(lint),2019,Kharif     ,Assam,789,417,2084.7,135518.64,291.93,0.674444444
Onion,2019,Whole Year ,Assam,8155,88892,2084.7,1400702.8,3017.35,8.022962963
Peas & beans (Pulses),2019,Rabi       ,Assam,27891,26081,2084.7,4790558.16,10319.67,1.035185185
Potato,2019,Whole Year ,Assam,104750,756222,2084.7,17991860,38757.5,7.303703704
Rice,2019,Autumn     ,Assam,127223,193215,2084.7,21851822.48,47072.51,1.464814815
Rice,2019,Summer     ,Assam,395518,1025571,2084.7,67934171.68,146341.66,2.492307692
Rice,2019,Winter     ,Assam,1878208,3996018,2084.7,322601006.1,694936.96,2.137037037
Wheat,2019,Rabi       ,Assam,11336,14430,2084.7,1947071.36,4194.32,1.272083333
Banana,2019,Kharif     ,Meghalaya,7284,94870,3844.4,1251099.84,2695.08,10.73090909
Cotton(lint),2019,Kharif     ,Meghalaya,7245,8697,3844.4,1244401.2,2680.65,1.158
Onion,2019,Rabi       ,Meghalaya,561,5037,3844.4,96357.36,207.57,8.431
Peas & beans (Pulses),2019,Rabi       ,Meghalaya,2340,4541,3844.4,401918.4,865.8,1.804545455
Potato,2019,Summer     ,Meghalaya,12577,143122,3844.4,2160225.52,4653.49,8.257272727
Potato,2019,Winter     ,Meghalaya,6366,44226,3844.4,1093424.16,2355.42,6.527272727
Rice,2019,Autumn     ,Meghalaya,33480,78074,3844.4,5750524.8,12387.6,2.510909091
Rice,2019,Rabi       ,Meghalaya,13628,63081,3844.4,2340745.28,5042.36,2.57
Rice,2019,Winter     ,Meghalaya,63889,162321,3844.4,10973574.64,23638.93,2.36
Wheat,2019,Rabi       ,Meghalaya,464,898,3844.4,79696.64,171.68,1.638
Banana,2019,Whole Year ,Goa,2460,30898,4489.5,422529.6,910.2,13.095
Coconut ,2019,Whole Year ,Goa,26542,167000000,4489.5,4558853.92,9820.54,6359.69
Rice,2019,Kharif     ,Goa,24411,60556,4489.5,4192833.36,9032.07,2.475
Rice,2019,Rabi       ,Goa,10287,29819,4489.5,1766895.12,3806.19,2.95
Coconut ,2019,Whole Year ,Karnataka,610324,5030774000,1422.3,104829250.2,225819.88,8344.984
Cotton(lint),2019,Kharif     ,Karnataka,803067,2319158,1422.3,137934787.9,297134.79,2.51
Cotton(lint),2019,Rabi       ,Karnataka,14393,10392,1422.3,2472141.68,5325.41,0.721363636
Onion,2019,Kharif     ,Karnataka,155401,1255733,1422.3,26691675.76,57498.37,8.256153846
Onion,2019,Rabi       ,Karnataka,36940,515416,1422.3,6344814.4,13667.8,13.21884615
Onion,2019,Summer     ,Karnataka,10300,119070,1422.3,1769128,3811,11.37333333
Potato,2019,Kharif     ,Karnataka,17797,124958,1422.3,3056812.72,6584.89,7.178214286
Potato,2019,Rabi       ,Karnataka,4477,69340,1422.3,768969.52,1656.49,15.27291667
Potato,2019,Summer     ,Karnataka,458,7162,1422.3,78666.08,169.46,15.88222222
Rice,2019,Kharif     ,Karnataka,964087,3088937,1422.3,165591583.1,356712.19,2.924
Rice,2019,Rabi       ,Karnataka,11266,31038,1422.3,1935048.16,4168.42,2.881428571
Rice,2019,Summer     ,Karnataka,272701,827998,1422.3,46839123.76,100899.37,2.86862069
Wheat,2019,Rabi       ,Karnataka,158319,180114,1422.3,27192871.44,58578.03,1.08125
Banana,2019,Whole Year ,Kerala,60678,548425,3119.2,10422053.28,22450.86,8.815
Coconut ,2019,Whole Year ,Kerala,760776,4814000000,3119.2,130670885.8,281487.12,5882.037143
Cotton(lint),2019,Whole Year ,Kerala,54,82,3119.2,9275.04,19.98,1.51
Potato,2019,Whole Year ,Kerala,490,6569,3119.2,84162.4,181.3,13.41
Rice,2019,Autumn     ,Kerala,55895,145076,3119.2,9600525.2,20681.15,1.949230769
Rice,2019,Summer     ,Kerala,61006,212586,3119.2,10478390.56,22572.22,2.815714286
Rice,2019,Winter     ,Kerala,81279,247879,3119.2,13960481.04,30073.23,2.503571429
Wheat,2019,Whole Year ,Kerala,1,2,3119.2,171.76,0.37,2
Banana,2019,Whole Year ,Tamil Nadu,92440,3987895,910.1,15877494.4,34202.8,42.7084375
Coconut ,2019,Whole Year ,Tamil Nadu,438935,4946800000,910.1,75391475.6,162405.95,8795.260556
Cotton(lint),2019,Kharif     ,Tamil Nadu,96681,235305,910.1,16605928.56,35771.97,2.533461538
Cotton(lint),2019,Rabi       ,Tamil Nadu,72817,182776,910.1,12507047.92,26942.29,2.717307692
Onion,2019,Kharif     ,Tamil Nadu,11137,101952,910.1,1912891.12,4120.69,9.088148148
Onion,2019,Rabi       ,Tamil Nadu,22663,159883,910.1,3892596.88,8385.31,7.237407407
Potato,2019,Kharif     ,Tamil Nadu,2900,60513,910.1,498104,1073,21.384
Potato,2019,Rabi       ,Tamil Nadu,1113,24207,910.1,191168.88,411.81,21.68
Rice,2019,Autumn     ,Tamil Nadu,206535,847692,910.1,35474451.6,76417.95,4.077241379
Rice,2019,Summer     ,Tamil Nadu,339990,1463054,910.1,58396682.4,125796.3,4.095
Rice,2019,Winter     ,Tamil Nadu,1360882,4954415,910.1,233745092.3,503526.34,3.818387097
Banana,2000,Whole Year ,Bihar,16186,339988,1207,1588979.62,4208.36,17.94875
Onion,2000,Whole Year ,Bihar,13788,140786,1207,1353567.96,3584.88,10.16783784
Peas & beans (Pulses),2000,Rabi       ,Bihar,25712,24810,1207,2524147.04,6685.12,0.95
Potato,2000,Whole Year ,Bihar,144563,1400358,1207,14191749.71,37586.38,9.984594595
Rice,2000,Autumn     ,Bihar,2939790,4444354,1207,288599184.3,764345.4,1.399189189
Rice,2000,Kharif     ,Bihar,591705,786858,1207,58087679.85,153843.3,1.310645161
Rice,2000,Summer     ,Bihar,125349,213158,1207,12305511.33,32590.74,1.590645161
Wheat,2000,Rabi       ,Bihar,2067333,4437958,1207,202950080.6,537506.58,2.073513514
Cotton(lint),2000,Kharif     ,Chhattisgarh,69,10,896.4,6773.73,17.94,0.245
Onion,2000,Whole Year ,Chhattisgarh,3362,26533,896.4,330047.54,874.12,7.798
Peas & beans (Pulses),2000,Rabi       ,Chhattisgarh,8855,3208,896.4,869295.35,2302.3,0.328666667
Potato,2000,Whole Year ,Chhattisgarh,9092,66090,896.4,892561.64,2363.92,7.36625
Rice,2000,Kharif     ,Chhattisgarh,3769746,2369295,896.4,370075964.8,980133.96,0.6575
Wheat,2000,Rabi       ,Chhattisgarh,77844,79488,896.4,7641945.48,20239.44,1.214375
Banana,2000,Whole Year ,Gujarat,22800,1277100,379.7,2238276,5928,53.03111111
Cotton(lint),2000,Kharif     ,Gujarat,1615400,1161400,379.7,158583818,420004,0.918823529
Onion,2000,Whole Year ,Gujarat,6400,130400,379.7,628288,1664,19.14875
Potato,2000,Whole Year ,Gujarat,32800,716100,379.7,3219976,8528,21.33555556
Rice,2000,Kharif     ,Gujarat,583500,472600,379.7,57282195,151710,0.8725
Rice,2000,Summer     ,Gujarat,3900,10700,379.7,382863,1014,3.53
Wheat,2000,Rabi       ,Gujarat,286100,649000,379.7,28086437,74386,2.346842105
Cotton(lint),2000,Kharif     ,Haryana,555385,1016700,383.7,54522145.45,144400.1,1.161052632
Onion,2000,Whole Year ,Haryana,3419,44300,383.7,335643.23,888.94,14.924
Peas & beans (Pulses),2000,Rabi       ,Haryana,1027,1100,383.7,100820.59,267.02,0.903
Potato,2000,Whole Year ,Haryana,9273,141200,383.7,910330.41,2410.98,15.6075
Rice,2000,Kharif     ,Haryana,1054282,2695000,383.7,103498863.9,274113.32,2.443157895
Wheat,2000,Rabi       ,Haryana,2354779,9669000,383.7,231168654.4,612242.54,3.990526316
Peas & beans (Pulses),2000,Kharif     ,Himachal Pradesh,5510,11886,1068.4,540916.7,1432.6,1.345555556
Rice,2000,Kharif     ,Himachal Pradesh,81519,124893,1068.4,8002720.23,21194.94,1.55
Wheat,2000,Rabi       ,Himachal Pradesh,362660,261319,1068.4,35602332.2,94291.6,0.803333333
Cotton(lint),2000,Kharif     ,Madhya Pradesh,490767,234423,723.3,48178596.39,127599.42,0.572941176
Onion,2000,Whole Year ,Madhya Pradesh,19327,272665,723.3,1897331.59,5025.02,13.27177778
Rice,2000,Kharif     ,Madhya Pradesh,1697346,975274,723.3,166628456.8,441309.96,0.613555556
Wheat,2000,Rabi       ,Madhya Pradesh,3299120,4861992,723.3,323874610.4,857771.2,1.499333333
Cotton(lint),2000,Kharif     ,Maharashtra,3076900,1802600,1057.8,302059273,799994,0.881153846
Rice,2000,Kharif     ,Maharashtra,1486400,1879200,1057.8,145919888,386464,0.9865625
Rice,2000,Summer     ,Maharashtra,25100,50500,1057.8,2464067,6526,1.987
Wheat,2000,Rabi       ,Maharashtra,754200,947600,1057.8,74039814,196092,1.197
Cotton(lint),2000,Kharif     ,Mizoram,483,1236,2834.3,47416.11,125.58,2.645
Potato,2000,Whole Year ,Mizoram,310,2429,2834.3,30432.7,80.6,5.805
Rice,2000,Kharif     ,Mizoram,51839,103673,2834.3,5089034.63,13478.14,1.8875
Cotton(lint),2000,Kharif     ,Nagaland,251,350,1631.8,24640.67,65.26,1.43875
Peas & beans (Pulses),2000,Kharif     ,Nagaland,1700,1120,1631.8,166889,442,0.66
Peas & beans (Pulses),2000,Rabi       ,Nagaland,6000,6000,1631.8,589020,1560,1
Potato,2000,Whole Year ,Nagaland,4540,47890,1631.8,445691.8,1180.4,10.32375
Rice,2000,Kharif     ,Nagaland,150000,230000,1631.8,14725500,39000,1.5025
Rice,2000,Rabi       ,Nagaland,1680,3330,1631.8,164925.6,436.8,1.98
Wheat,2000,Rabi       ,Nagaland,5000,10000,1631.8,490850,1300,2.0675
Cotton(lint),2000,Kharif     ,Odisha,39160,65090,1066,3844337.2,10181.6,1.654
Onion,2000,Whole Year ,Odisha,27400,229420,1066,2689858,7124,7.385666667
Potato,2000,Whole Year ,Odisha,8251,85872,1066,810000.67,2145.26,9.321071429
Rice,2000,Autumn     ,Odisha,854570,464250,1066,83893136.9,222188.2,0.733666667
Rice,2000,Summer     ,Odisha,206730,441540,1066,20294684.1,53749.8,1.685333333
Rice,2000,Winter     ,Odisha,3372220,3707590,1066,331050837.4,876777.2,1.020666667
Wheat,2000,Rabi       ,Odisha,8819,12904,1066,865761.23,2292.94,1.201538462
Cotton(lint),2000,Kharif     ,Punjab,474000,1199000,405.3,46532580,123240,2.131
Rice,2000,Kharif     ,Punjab,2611000,9154000,405.3,256321870,678860,3.501764706
Wheat,2000,Rabi       ,Punjab,3408000,15551000,405.3,334563360,886080,4.503529412
Banana,2000,Whole Year ,Tamil Nadu,77485,2473512,971.1,7606702.45,20146.1,29.60107143
Cotton(lint),2000,Kharif     ,Tamil Nadu,193850,325079,971.1,19030254.5,50401,1.807777778
Onion,2000,Whole Year ,Tamil Nadu,29822,265887,971.1,2927625.74,7753.72,8.016666667
Potato,2000,Whole Year ,Tamil Nadu,2723,49126,971.1,267316.91,707.98,18.08
Rice,2000,Kharif     ,Tamil Nadu,2113344,7217903,971.1,207466980.5,549469.44,3.611785714
Cotton(lint),2000,Kharif     ,Uttar Pradesh,5328,4759,874.4,523049.76,1385.28,1.268235294
Peas & beans (Pulses),2000,Rabi       ,Uttar Pradesh,333480,344524,874.4,32737731.6,86704.8,1.249275362
Potato,2000,Whole Year ,Uttar Pradesh,394083,8398200,874.4,38687128.11,102461.58,19.7573913
Rice,2000,Kharif     ,Uttar Pradesh,5904128,11672250,874.4,579608245.8,1535073.28,1.894782609
Rice,2000,Summer     ,Uttar Pradesh,3023,6899,874.4,296767.91,785.98,2.083181818
Wheat,2000,Rabi       ,Uttar Pradesh,9239311,25168332,874.4,907023160.9,2402220.86,2.68057971
Onion,2000,Whole Year ,Uttarakhand,1781,11027,1413.4,174840.77,463.06,7.395384615
Peas & beans (Pulses),2000,Rabi       ,Uttarakhand,3402,2598,1413.4,333974.34,884.52,0.681538462
Potato,2000,Kharif     ,Uttarakhand,6286,138309,1413.4,617096.62,1634.36,21.66555556
Potato,2000,Rabi       ,Uttarakhand,6473,148125,1413.4,635454.41,1682.98,21.60538462
Rice,2000,Kharif     ,Uttarakhand,285545,579074,1413.4,28031952.65,74241.7,1.649230769
Rice,2000,Rabi       ,Uttarakhand,3062,9578,1413.4,300596.54,796.12,3.125
Wheat,2000,Rabi       ,Uttarakhand,377340,711036,1413.4,37043467.8,98108.4,1.550769231
Banana,2001,Whole Year ,Bihar,16263,355042,1247,1660940.19,4228.38,21.29136364
Onion,2001,Whole Year ,Bihar,14083,134445,1247,1438296.79,3661.58,10.47351351
Peas & beans (Pulses),2001,Rabi       ,Bihar,26086,25671,1247,2664163.18,6782.36,0.971176471
Potato,2001,Whole Year ,Bihar,140783,1432119,1247,14378167.79,36603.58,10.54486486
Rice,2001,Autumn     ,Bihar,2844474,4354156,1247,290506129.6,739563.24,1.409189189
Rice,2001,Kharif     ,Bihar,126106,243661,1247,12879205.78,32787.56,1.792903226
Rice,2001,Summer     ,Bihar,593959,703404,1247,60661032.67,154429.34,1.098275862
Wheat,2001,Rabi       ,Bihar,2181543,4499130,1247,222800986.6,567201.18,1.977567568
Cotton(lint),2001,Kharif     ,Chhattisgarh,103,72,1550,10519.39,26.78,0.795
Onion,2001,Whole Year ,Chhattisgarh,3836,33857,1550,391770.68,997.36,8.872
Peas & beans (Pulses),2001,Rabi       ,Chhattisgarh,11851,4416,1550,1210342.63,3081.26,0.329375
Potato,2001,Whole Year ,Chhattisgarh,9315,64152,1550,951340.95,2421.9,6.849375
Rice,2001,Kharif     ,Chhattisgarh,3810112,5073721,1550,389126738.6,990629.12,1.34375
Wheat,2001,Rabi       ,Chhattisgarh,97861,103480,1550,9994543.93,25443.86,1.195
Banana,2001,Whole Year ,Gujarat,24400,1473800,666.5,2491972,6344,61.91875
Cotton(lint),2001,Kharif     ,Gujarat,1749800,1703200,666.5,178707074,454948,1.133529412
Onion,2001,Whole Year ,Gujarat,24200,638700,666.5,2471546,6292,29.52625
Potato,2001,Whole Year ,Gujarat,32300,802000,666.5,3298799,8398,22.995
Rice,2001,Kharif     ,Gujarat,664000,1028700,666.5,67814320,172640,1.533571429
Rice,2001,Summer     ,Gujarat,3800,11500,666.5,388094,988,2.935
Wheat,2001,Rabi       ,Gujarat,470100,1144700,666.5,48011313,122226,2.474736842
Cotton(lint),2001,Kharif     ,Haryana,629468,722000,483.8,64287566.84,163661.68,0.804736842
Onion,2001,Whole Year ,Haryana,3554,46600,483.8,362970.02,924.04,13.56916667
Peas & beans (Pulses),2001,Rabi       ,Haryana,1065,1200,483.8,108768.45,276.9,0.576428571
Potato,2001,Whole Year ,Haryana,9616,203100,483.8,982082.08,2500.16,19.08055556
Rice,2001,Kharif     ,Haryana,1027505,2726000,483.8,104939085.6,267151.3,2.645555556
Wheat,2001,Rabi       ,Haryana,2299876,9437000,483.8,234886335.9,597967.76,3.979473684
Cotton(lint),2001,Kharif     ,Himachal Pradesh,20,13,918.1,2042.6,5.2,0.8975
Onion,2001,Whole Year ,Himachal Pradesh,1112,11045,918.1,113568.56,289.12,8.397777778
Peas & beans (Pulses),2001,Kharif     ,Himachal Pradesh,5294,11949,918.1,540676.22,1376.44,1.548888889
Potato,2001,Whole Year ,Himachal Pradesh,8480,75614,918.1,866062.4,2204.8,8.677272727
Rice,2001,Kharif     ,Himachal Pradesh,80579,137418,918.1,8229533.27,20950.54,1.654545455
Wheat,2001,Rabi       ,Himachal Pradesh,366518,637068,918.1,37432483.34,95294.68,1.72
Banana,2001,Whole Year ,Madhya Pradesh,18145,564818,955,1853148.85,4717.7,26.1695
Cotton(lint),2001,Kharif     ,Madhya Pradesh,534571,383607,955,54595736.23,138988.46,0.706315789
Onion,2001,Whole Year ,Madhya Pradesh,23057,324596,955,2354811.41,5994.82,13.41155556
Potato,2001,Whole Year ,Madhya Pradesh,38387,507092,955,3920464.31,9980.62,13.38955556
Rice,2001,Kharif     ,Madhya Pradesh,1766150,1685799,955,180376899.5,459199,0.849333333
Wheat,2001,Rabi       ,Madhya Pradesh,3691707,5993596,955,377034035.9,959843.82,1.654888889
Cotton(lint),2001,Kharif     ,Maharashtra,3104700,2689600,1035.8,317083011,807222,0.897307692
Rice,2001,Kharif     ,Maharashtra,1487200,2590400,1035.8,151887736,386672,1.261875
Rice,2001,Summer     ,Maharashtra,26800,60800,1035.8,2737084,6968,2.192
Wheat,2001,Rabi       ,Maharashtra,776000,1077400,1035.8,79252880,201760,1.313793103
Cotton(lint),2001,Kharif     ,Mizoram,618,1264,2406.4,63116.34,160.68,2.625
Peas & beans (Pulses),2001,Kharif     ,Mizoram,100.9,161,2406.4,10304.917,26.234,1.53
Peas & beans (Pulses),2001,Rabi       ,Mizoram,138.5,97,2406.4,14145.005,36.01,0.85
Potato,2001,Whole Year ,Mizoram,376,1471,2406.4,38400.88,97.76,4.8975
Rice,2001,Kharif     ,Mizoram,55880,105713,2406.4,5707024.4,14528.8,1.825
